0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-7328.288999999997,144447.711,299657.711,441475.711,625872.711,784516.711,909852.711,1082918.711,1248429.711,1415658.711,1558162.711,1739813.711,1867552.711,2059847.711,2170074.711,2361339.711,2539213.711,2658024.711,2812547.711,2970161.711,3162113.711,3295003.711,3456050.711,3638388.711,3753078.711,3895926.711,4087535.711,4235534.711,4412720.711,4575141.711,4760913.711,4876290.711,5053133.711,5198042.711,5349818.711,5532498.711,5677407.711,5856997.711,5972718.711,6161923.711,6329495.711,6444185.711
-5955.288999999997,140670.711,301374.711,444222.711,626216.711,786233.711,906761.711,1082231.711,1248429.711,1416688.711,1562626.711,1740500.711,1867895.711,2060191.711,2168357.711,2360653.711,2538526.711,2658367.711,2809457.711,2968787.711,3161083.711,3297063.711,3454677.711,3635297.711,3752391.711,3894209.711,4085131.711,4236221.711,4415467.711,4569647.711,4761256.711,4874916.711,5049699.711,5200445.711,5354282.711,5532842.711,5677750.711,5856310.711,5972718.711,6162610.711,6328121.711,6444872.711
-3894.288999999997,140670.711,301717.711,440788.711,626559.711,786920.711,906418.711,1082231.711,1250489.711,1414284.711,1564687.711,1737066.711,1867209.711,2061908.711,2168357.711,2362370.711,2538526.711,2654933.711,2806366.711,2968100.711,3164860.711,3293629.711,3451930.711,3634610.711,3753078.711,3892149.711,4083414.711,4236907.711,4415124.711,4567587.711,4762973.711,4875260.711,5045579.711,5200789.711,5352565.711,5532842.711,5677750.711,5856654.711,5974435.711,6165013.711,6329495.711,6443842.711
-117.28899999999703,139296.711,301374.711,435981.711,625529.711,785546.711,908478.711,1082574.711,1252206.711,1413941.711,1562626.711,1736036.711,1866865.711,2062595.711,2171448.711,2363400.711,2538869.711,2655964.711,2807053.711,2971878.711,3165547.711,3288478.711,3455020.711,3637014.711,3753078.711,3894553.711,4087535.711,4236564.711,4414437.711,4568617.711,4762973.711,4876977.711,5044892.711,5202849.711,5351878.711,5531468.711,5676720.711,5854250.711,5974091.711,6165357.711,6328121.711,6442125.711
3659.711000000003,139983.711,301374.711,435294.711,624499.711,783486.711,906418.711,1082574.711,1253580.711,1414971.711,1563656.711,1737066.711,1867895.711,2061221.711,2175568.711,2362713.711,2536122.711,2661114.711,2808083.711,2975655.711,3165203.711,3294659.711,3455020.711,3638044.711,3754108.711,3897643.711,4085131.711,4234504.711,4413751.711,4568961.711,4761943.711,4880067.711,5046609.711,5203879.711,5352565.711,5528721.711,5675346.711,5856310.711,5973404.711,6163296.711,6327778.711,6442812.711
3316.711000000003,142387.711,299657.711,435637.711,624155.711,781082.711,904358.711,1085321.711,1250833.711,1415314.711,1560223.711,1741186.711,1871673.711,2059847.711,2176255.711,2368894.711,2539213.711,2658024.711,2810830.711,2976685.711,3163830.711,3300840.711,3456394.711,3632550.711,3753078.711,3896613.711,4087878.711,4232787.711,4413751.711,4572394.711,4759539.711,4880754.711,5047296.711,5204909.711,5350504.711,5530095.711,5673973.711,5860774.711,5976495.711,6160549.711,6328464.711,6445559.711
4002.711000000003,145477.711,301717.711,437697.711,622439.711,778335.711,907105.711,1086351.711,1245339.711,1418405.711,1556102.711,1743933.711,1874763.711,2061564.711,2174538.711,2367177.711,2542303.711,2651500.711,2811517.711,2974968.711,3164517.711,3300840.711,3454333.711,3629460.711,3752735.711,3896270.711,4089252.711,4233474.711,4415811.711,4573768.711,4757135.711,4879380.711,5050386.711,5201132.711,5350161.711,5530095.711,5674660.711,5860774.711,5975808.711,6160893.711,6328808.711,6450023.711
2972.711000000003,146164.711,301374.711,440101.711,618661.711,779709.711,906074.711,1085665.711,1246712.711,1420465.711,1555415.711,1744964.711,1874076.711,2060878.711,2172821.711,2364773.711,2541960.711,2653216.711,2810830.711,2968787.711,3164860.711,3302557.711,3453647.711,3629116.711,3751018.711,3897643.711,4087878.711,4234504.711,4414094.711,4575485.711,4761256.711,4877663.711,5048669.711,5202506.711,5349474.711,5529751.711,5678780.711,5857340.711,5975808.711,6160206.711,6330868.711,6450023.711
225.71100000000297,143073.711,302404.711,442161.711,619005.711,777992.711,902641.711,1085665.711,1250146.711,1416688.711,1558849.711,1741873.711,1875106.711,2057100.711,2174881.711,2363743.711,2542990.711,2655620.711,2811860.711,2966727.711,3166920.711,3301527.711,3454677.711,3628429.711,3747927.711,3899017.711,4087878.711,4234160.711,4413751.711,4576858.711,4758852.711,4877320.711,5049012.711,5209373.711,5350848.711,5526661.711,5681184.711,5858027.711,5974091.711,6159862.711,6331555.711,6447619.711
569.711000000003,138266.711,301717.711,441131.711,616258.711,776962.711,900237.711,1084635.711,1251863.711,1413597.711,1561253.711,1738783.711,1874763.711,2054010.711,2179345.711,2360653.711,2544020.711,2654247.711,2812204.711,2969131.711,3166577.711,3302214.711,3455020.711,3630146.711,3747241.711,3896613.711,4088565.711,4232443.711,4415124.711,4577202.711,4761256.711,4881784.711,5050729.711,5213150.711,5352565.711,5525287.711,5676033.711,5858371.711,5969627.711,6156429.711,6333959.711,6446932.711
