0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
-51009.0,100767.0,255977.0,397795.0,582192.0,740836.0,866172.0,1039238.0,1204749.0,1371978.0,1514482.0,1696133.0,1823872.0,2016167.0,2126394.0,2317659.0,2495533.0,2614344.0,2768867.0,2926481.0,3118433.0,3251323.0,3412370.0,3594708.0,3709398.0,3852246.0,4043855.0,4191854.0,4369040.0,4531461.0,4717233.0,4832610.0,5009453.0,5154362.0,5306138.0,5488818.0,5633727.0,5813317.0,5929038.0,6118243.0,6285815.0,6400505.00
-49636.0,96990.0,257694.0,400542.0,582536.0,742553.0,863081.0,1038551.0,1204749.0,1373008.0,1518946.0,1696820.0,1824215.0,2016511.0,2124677.0,2316973.0,2494846.0,2614687.0,2765777.0,2925107.0,3117403.0,3253383.0,3410997.0,3591617.0,3708711.0,3850529.0,4041451.0,4192541.0,4371787.0,4525967.0,4717576.0,4831236.0,5006019.0,5156765.0,5310602.0,5489162.0,5634070.0,5812630.0,5929038.0,6118930.0,6284441.0,6401192.00
-47575.0,96990.0,258037.0,397108.0,582879.0,743240.0,862738.0,1038551.0,1206809.0,1370604.0,1521007.0,1693386.0,1823529.0,2018228.0,2124677.0,2318690.0,2494846.0,2611253.0,2762686.0,2924420.0,3121180.0,3249949.0,3408250.0,3590930.0,3709398.0,3848469.0,4039734.0,4193227.0,4371444.0,4523907.0,4719293.0,4831580.0,5001899.0,5157109.0,5308885.0,5489162.0,5634070.0,5812974.0,5930755.0,6121333.0,6285815.0,6400162.00
-43798.0,95616.0,257694.0,392301.0,581849.0,741866.0,864798.0,1038894.0,1208526.0,1370261.0,1518946.0,1692356.0,1823185.0,2018915.0,2127768.0,2319720.0,2495189.0,2612284.0,2763373.0,2928198.0,3121867.0,3244798.0,3411340.0,3593334.0,3709398.0,3850873.0,4043855.0,4192884.0,4370757.0,4524937.0,4719293.0,4833297.0,5001212.0,5159169.0,5308198.0,5487788.0,5633040.0,5810570.0,5930411.0,6121677.0,6284441.0,6398445.00
-40021.0,96303.0,257694.0,391614.0,580819.0,739806.0,862738.0,1038894.0,1209900.0,1371291.0,1519976.0,1693386.0,1824215.0,2017541.0,2131888.0,2319033.0,2492442.0,2617434.0,2764403.0,2931975.0,3121523.0,3250979.0,3411340.0,3594364.0,3710428.0,3853963.0,4041451.0,4190824.0,4370071.0,4525281.0,4718263.0,4836387.0,5002929.0,5160199.0,5308885.0,5485041.0,5631666.0,5812630.0,5929724.0,6119616.0,6284098.0,6399132.00
-40364.0,98707.0,255977.0,391957.0,580475.0,737402.0,860678.0,1041641.0,1207153.0,1371634.0,1516543.0,1697506.0,1827993.0,2016167.0,2132575.0,2325214.0,2495533.0,2614344.0,2767150.0,2933005.0,3120150.0,3257160.0,3412714.0,3588870.0,3709398.0,3852933.0,4044198.0,4189107.0,4370071.0,4528714.0,4715859.0,4837074.0,5003616.0,5161229.0,5306824.0,5486415.0,5630293.0,5817094.0,5932815.0,6116869.0,6284784.0,6401879.00
-39678.0,101797.0,258037.0,394017.0,578759.0,734655.0,863425.0,1042671.0,1201659.0,1374725.0,1512422.0,1700253.0,1831083.0,2017884.0,2130858.0,2323497.0,2498623.0,2607820.0,2767837.0,2931288.0,3120837.0,3257160.0,3410653.0,3585780.0,3709055.0,3852590.0,4045572.0,4189794.0,4372131.0,4530088.0,4713455.0,4835700.0,5006706.0,5157452.0,5306481.0,5486415.0,5630980.0,5817094.0,5932128.0,6117213.0,6285128.0,6406343.00
-40708.0,102484.0,257694.0,396421.0,574981.0,736029.0,862394.0,1041985.0,1203032.0,1376785.0,1511735.0,1701284.0,1830396.0,2017198.0,2129141.0,2321093.0,2498280.0,2609536.0,2767150.0,2925107.0,3121180.0,3258877.0,3409967.0,3585436.0,3707338.0,3853963.0,4044198.0,4190824.0,4370414.0,4531805.0,4717576.0,4833983.0,5004989.0,5158826.0,5305794.0,5486071.0,5635100.0,5813660.0,5932128.0,6116526.0,6287188.0,6406343.00
-43455.0,99393.0,258724.0,398481.0,575325.0,734312.0,858961.0,1041985.0,1206466.0,1373008.0,1515169.0,1698193.0,1831426.0,2013420.0,2131201.0,2320063.0,2499310.0,2611940.0,2768180.0,2923047.0,3123240.0,3257847.0,3410997.0,3584749.0,3704247.0,3855337.0,4044198.0,4190480.0,4370071.0,4533178.0,4715172.0,4833640.0,5005332.0,5165693.0,5307168.0,5482981.0,5637504.0,5814347.0,5930411.0,6116182.0,6287875.0,6403939.00
-43111.0,94586.0,258037.0,397451.0,572578.0,733282.0,856557.0,1040955.0,1208183.0,1369917.0,1517573.0,1695103.0,1831083.0,2010330.0,2135665.0,2316973.0,2500340.0,2610567.0,2768524.0,2925451.0,3122897.0,3258534.0,3411340.0,3586466.0,3703561.0,3852933.0,4044885.0,4188763.0,4371444.0,4533522.0,4717576.0,4838104.0,5007049.0,5169470.0,5308885.0,5481607.0,5632353.0,5814691.0,5925947.0,6112749.0,6290279.0,6403252.00
-38991.0,94586.0,257007.0,397451.0,572921.0,734655.0,858274.0,1039924.0,1204062.0,1370261.0,1521007.0,1695789.0,1824215.0,2007926.0,2133948.0,2314226.0,2499997.0,2611253.0,2772301.0,2926137.0,3121180.0,3260938.0,3413400.0,3588183.0,3704247.0,3855337.0,4040421.0,4188077.0,4368354.0,4535582.0,4723414.0,4839821.0,5008423.0,5169470.0,5313005.0,5480234.0,5628576.0,5817094.0,5925260.0,6108971.0,6290622.0,6404626.00
