t,x,flags
27003783,453,0
27004818,100,0
27005854,16776439,0
27006891,16775770,0
27007926,16775666,0
27008963,16775237,0
27009998,16775236,0
27011036,16774915,0
27012071,16774111,0
27013107,16774708,0
27014143,16775225,0
27015179,16775386,0
27016215,16776612,0
27017253,16776454,0
27018289,16776802,0
27019326,16777045,0
27020363,327,0
27021397,140,0
27022433,16776583,0
27023470,16775781,0
27024507,16775453,0
27025542,16775738,0
27026578,16775846,0
27027614,16775724,0
27028651,16774745,0
27029686,16774642,0
27030722,16775119,0
27031758,16776097,0
27032794,16776600,0
27033831,16776552,0
27034867,16777024,0
27035904,46,0
27036941,658,0
27037977,11,0
27039014,16776759,0
27040049,16775958,0
27041085,16775767,0
27042120,16775566,0
27043156,16775198,0
27044192,16775334,0
27045231,16774805,0
27046266,16774591,0
27047302,16775061,0
27048339,16774915,0
27049374,16776343,0
27050411,16776762,0
27051447,16776751,0
27052483,16776777,0
27053520,455,0
27054557,579,0
27055591,16777171,0
27056629,16776521,0
27057663,16776071,0
27058701,16775945,0
27059737,16775725,0
27060773,16775766,0
27061809,16774749,0
27062846,16774455,0
27063881,16774962,0
27064918,16775993,0
27065953,16776443,0
27066990,16776619,0
27068027,16776787,0
27069062,16776993,0
27070099,439,0
27071135,963,0
27072170,176,0
27073207,16776951,0
27074244,16776463,0
27075278,16775660,0
27076314,16775570,0
27077349,16775352,0
27078388,16774761,0
27079423,16775137,0
27080461,16775533,0
27081497,16775025,0
27082532,16776105,0
27083568,16776756,0
27084604,16776912,0
27085641,16776948,0
27086678,417,0
27087715,727,0
27088749,156,0
27089786,16776775,0
27090823,16775989,0
27091858,16776193,0
27092895,16775841,0
27093930,16775121,0
27094967,16774349,0
27096003,16774007,0
27097040,16774989,0
27098075,16776109,0
27099112,16775935,0
27100147,16776274,0
27101184,16776838,0
27102221,161,0
27103256,420,0
27104293,415,0
27105329,16776831,0
27106364,16776258,0
27107402,16776041,0
27108436,16775674,0
27109471,16775120,0
27110509,16774804,0
27111547,16774502,0
27112582,16774534,0
27113617,16775183,0
27114653,16775084,0
27115691,16776010,0
27116727,16776761,0
27117761,16777132,0
27118801,339,0
27119836,720,0
27120873,1107,0
27121908,147,0
27122945,16776765,0
27123979,16776438,0
27125017,16775924,0
27126052,16775367,0
27127088,16775492,0
27128125,16774946,0
27129161,16774191,0
27130198,16774569,0
27131234,16775681,0
27132270,16776721,0
27133306,16776831,0
27134342,16777079,0
27135378,16776028,0
27136415,16775850,0
27137452,610,0
27138487,16777062,0
27139522,16776422,0
27140560,16775863,0
27141594,16775206,0
27142631,16775149,0
27143667,16775146,0
27144705,16775033,0
27145740,16774358,0
27146777,16774597,0
27147811,16775156,0
27148848,16775852,0
27149883,16776304,0
27150921,16776500,0
27151957,16776831,0
27152993,16777151,0
27154031,586,0
27155066,255,0
27156101,16777179,0
27157138,16776325,0
27158174,16775601,0
27159209,16775582,0
27160247,16775698,0
27161283,16774902,0
27162319,16774331,0
27163356,16774705,0
27164392,16775694,0
27165427,16776354,0
27166464,16776605,0
27167499,16776864,0
27168535,192,0
27169573,35,0
27170610,766,0
27171645,475,0
27172681,16776631,0
27173718,16775965,0
27174753,16775578,0
27175789,16775440,0
27176825,16775106,0
27177863,16774917,0
27178898,16774548,0
27179935,16774859,0
27180969,16775236,0
27182007,16775574,0
27183044,16776510,0
27184079,16776886,0
27185116,16776947,0
27186151,16776932,0
27187187,408,0
27188224,158,0
27189261,16776499,0
27190296,16776187,0
27191330,16776064,0
27192369,16775475,0
27193403,16775404,0
27194439,16775248,0
27195476,16774600,0
27196514,16774859,0
27197549,16775671,0
27198587,16776541,0
27199622,16776738,0
27200658,16776946,0
27201694,16777194,0
27202728,16777096,0
27203769,287,0
27204804,445,0
27205839,16777149,0
27206875,16776614,0
27207910,16776140,0
27208948,16775978,0
27209985,16775019,0
27211021,16775014,0
27212055,16774540,0
27213092,16774920,0
27214128,16775231,0
27215165,16775866,0
27216200,16777198,0
27217235,16777136,0
27218274,419,0
27219310,55,0
27220347,604,0
27221382,446,0
27222418,16777101,0
27223455,16776253,0
27224490,16776089,0
27225527,16775830,0
27226563,16775468,0
27227599,16775589,0
27228635,16774868,0
27229672,16774954,0
27230707,16775258,0
27231743,16775992,0
27232781,16776554,0
27233816,44,0
27234853,15,0
27235889,233,0
27236925,1056,0
27237963,771,0
27238998,16776861,0
27240033,16776633,0
27241068,16776388,0
27242105,16776094,0
27243141,16775579,0
27244177,16775195,0
27245213,16774720,0
27246252,16774837,0
27247288,16774989,0
27248323,16774986,0
27249360,16776033,0
27250394,16776700,0
27251431,16777207,0
27252467,16777203,0
27253506,557,0
27254539,456,0
27255576,44,0
27256614,16776569,0
27257647,16776264,0
27258685,16775919,0
27259722,16775725,0
27260757,16775700,0
27261794,16774975,0
27262829,16774888,0
27263866,16775597,0
27264901,16776236,0
27265937,16776636,0
27266975,16776895,0
27268011,167,0
27269047,98,0
27270084,668,0
27271120,892,0
27272157,562,0
27273191,16776916,0
27274229,16776463,0
27275263,16776133,0
27276299,16775566,0
27277337,16775738,0
27278372,16775496,0
27279408,16774612,0
27280446,16774997,0
27281479,16775120,0
27282517,16776330,0
27283554,16776875,0
27284589,16777183,0
27285626,92,0
27286663,732,0
27287698,1092,0
27288736,374,0
27289770,16776411,0
27290806,16776198,0
27291843,16775948,0
27292879,16775934,0
27293913,16776096,0
27294951,16775245,0
27295988,16774963,0
27297024,16775329,0
27298058,16776112,0
27299097,16776518,0
27300133,16776959,0
27301169,203,0
27302207,635,0
27303243,547,0
27304278,913,0
27305314,612,0
27306350,16776927,0
27307384,16776672,0
27308421,16776578,0
27309457,16776079,0
27310495,16775703,0
27311530,16775036,0
27312567,16774683,0
27313602,16775129,0
27314640,16775433,0
27315674,16776436,0
27316709,16777136,0
27317748,458,0
27318786,665,0
27319822,861,0
27320856,1040,0
27321893,413,0
27322929,16776790,0
27323966,16776041,0
27325002,16775778,0
27326036,16775554,0
27327075,16775029,0
27328108,16775054,0
27329146,16774838,0
27330183,16775479,0
27331216,16776144,0
27332254,16776520,0
27333291,16776707,0
27334327,16776802,0
27335361,16777156,0
27336401,303,0
27337437,1384,0
27338474,381,0
27339507,16776972,0
27340545,16776733,0
27341581,16776021,0
27342617,16775719,0
27343652,16775251,0
27344689,16774946,0
27345726,16774493,0
27346760,16774928,0
27347796,16775199,0
27348834,16774665,0
27349869,16775016,0
27350906,16776706,0
27351943,16776949,0
27352980,331,0
27354015,1018,0
27355053,365,0
27356087,16776902,0
27357122,16776322,0
27358157,16776096,0
27359196,16775727,0
27360231,16775658,0
27361269,16775445,0
27362305,16774957,0
27363340,16775109,0
27364376,16775820,0
27365411,16776332,0
27366449,16776761,0
27367485,79,0
27368522,487,0
27369559,338,0
27370596,709,0
27371631,342,0
27372665,16776840,0
27373702,16776257,0
27374737,16776178,0
27375775,16775813,0
27376810,16775667,0
27377847,16775034,0
27378884,16772957,0
27379919,16774254,0
27380954,16775736,0
27381993,16775957,0
27383028,16776814,0
27384064,16776978,0
27385102,361,0
27386138,678,0
27387174,1145,0
27388209,1036,0
27389245,138,0
27390281,16776393,0
27391317,16776054,0
27392354,16775977,0
27393390,16775851,0
27394425,16775583,0
27395462,16774666,0
27396497,16775150,0
27397534,16776251,0
27398570,16776423,0
27399607,16776962,0
